ts,MemTotal_kB,MemFree_kB,MemAvail_kB,SwapTotal_kB,SwapFree_kB,PID,VSZ_KB,RSS_KB,CPU_PCT,COMMAND
2025-09-16 21:26:11,1605812,949292,1031104,1118204,571892,,,,,
2025-09-16 21:26:12,1605812,947960,1030300,1118204,571892,,,,,
2025-09-16 21:26:13,1605812,946196,1028536,1118204,571892,,,,,
2025-09-16 21:26:14,1605812,945640,1027988,1118204,572660,,,,,
2025-09-16 21:26:15,1605812,945124,1027472,1118204,572660,,,,,
2025-09-16 21:26:16,1605812,944216,1026564,1118204,572660,,,,,
2025-09-16 21:26:17,1605812,943952,1026300,1118204,572660,,,,,
2025-09-16 21:26:18,1605812,943700,1026048,1118204,572660,,,,,
2025-09-16 21:26:19,1605812,943108,1025456,1118204,572660,,,,,
2025-09-16 21:26:20,1605812,942616,1024964,1118204,572660,,,,,
2025-09-16 21:26:21,1605812,942352,1024700,1118204,572660,,,,,
2025-09-16 21:26:22,1605812,941936,1024284,1118204,572660,,,,,
2025-09-16 21:26:23,1605812,941848,1024196,1118204,572660,,,,,
2025-09-16 21:26:24,1605812,938484,1023744,1118204,573172,,,,,
2025-09-16 21:26:25,1605812,937488,1022748,1118204,573172,,,,,
2025-09-16 21:26:26,1605812,937076,1022336,1118204,573172,,,,,
2025-09-16 21:26:27,1605812,935500,1020760,1118204,573428,,,,,
2025-09-16 21:26:28,1605812,935300,1020560,1118204,573684,,,,,
2025-09-16 21:26:29,1605812,935096,1020356,1118204,573684,,,,,
2025-09-16 21:26:30,1605812,935084,1020344,1118204,573684,,,,,
2025-09-16 21:26:31,1605812,934420,1019680,1118204,573684,,,,,
2025-09-16 21:26:32,1605812,934480,1019740,1118204,573684,,,,,
2025-09-16 21:26:33,1605812,921880,1007472,1118204,576756,,,,,
2025-09-16 21:26:34,1605812,920772,1006392,1118204,576756,,,,,
2025-09-16 21:26:35,1605812,919980,1005840,1118204,576756,,,,,
2025-09-16 21:26:36,1605812,919412,1005276,1118204,576756,,,,,
2025-09-16 21:26:38,1605812,923184,1009048,1118204,576756,,,,,
2025-09-16 21:26:39,1605812,922236,1008108,1118204,577780,,,,,
2025-09-16 21:26:40,1605812,921972,1007844,1118204,577780,,,,,
2025-09-16 21:26:41,1605812,915328,1001200,1118204,577780,,,,,
2025-09-16 21:26:42,1605812,844636,930512,1118204,577780,,,,,
2025-09-16 21:26:43,1605812,774784,860664,1118204,577780,,,,,
2025-09-16 21:26:44,1605812,719092,804972,1118204,577780,,,,,
2025-09-16 21:26:45,1605812,655864,741744,1118204,577780,,,,,
2025-09-16 21:26:46,1605812,597980,683860,1118204,577780,,,,,
2025-09-16 21:26:47,1605812,533572,619452,1118204,577780,,,,,
2025-09-16 21:26:48,1605812,471524,557404,1118204,578036,,,,,
2025-09-16 21:26:49,1605812,414496,500376,1118204,578036,,,,,
2025-09-16 21:26:50,1605812,346248,432128,1118204,578036,,,,,
2025-09-16 21:26:51,1605812,287380,373260,1118204,578292,,,,,
2025-09-16 21:26:52,1605812,221428,307308,1118204,578292,,,,,
2025-09-16 21:26:53,1605812,157736,243616,1118204,578292,,,,,
2025-09-16 21:26:54,1605812,85716,171596,1118204,578292,,,,,
2025-09-16 21:26:55,1605812,77944,130620,1118204,567788,,,,,
2025-09-16 21:26:56,1605812,61508,112104,1118204,522692,,,,,
2025-09-16 21:26:57,1605812,36468,87064,1118204,475352,,,,,
2025-09-16 21:26:58,1605812,64448,115040,1118204,388480,,,,,
2025-09-16 21:26:59,1605812,83020,98652,1118204,327644,,,,,
2025-09-16 21:27:00,1605812,73344,85656,1118204,261844,,,,,
2025-09-16 21:27:01,1605812,67740,86728,1118204,244032,,,,,
2025-09-16 21:27:03,1605812,46504,65492,1118204,195464,,,,,
2025-09-16 21:27:04,1605812,74592,93576,1118204,108744,,,,,
2025-09-16 21:27:05,1605812,56276,75260,1118204,71624,,,,,
2025-09-16 21:27:06,1605812,41696,60680,1118204,11876,,,,,
2025-09-16 21:27:07,1605812,41980,41728,1118204,12,,,,,
2025-09-16 21:27:09,1605812,1074736,1063056,1118204,559692,,,,,
2025-09-16 21:27:10,1605812,1033972,1040152,1118204,560460,,,,,
2025-09-16 21:27:11,1605812,1031652,1038124,1118204,561484,,,,,
2025-09-16 21:27:12,1605812,1027708,1036984,1118204,561740,,,,,
2025-09-16 21:27:13,1605812,969380,1031904,1118204,570188,,,,,
2025-09-16 21:27:14,1605812,966796,1029536,1118204,570444,,,,,
2025-09-16 21:27:15,1605812,964752,1027500,1118204,571468,,,,,
2025-09-16 21:27:16,1605812,908744,972316,1118204,571468,,,,,
2025-09-16 21:27:17,1605812,776484,840320,1118204,571468,,,,,
2025-09-16 21:27:18,1605812,651904,715748,1118204,571468,,,,,
2025-09-16 21:27:19,1605812,535180,599648,1118204,571468,,,,,
2025-09-16 21:27:20,1605812,406444,474212,1118204,571468,,,,,
2025-09-16 21:27:21,1605812,290144,358424,1118204,571468,,,,,
2025-09-16 21:27:22,1605812,168052,236384,1118204,571468,,,,,
2025-09-16 21:27:23,1605812,47056,115388,1118204,571468,,,,,
2025-09-16 21:27:24,1605812,52268,95980,1118204,533424,,,,,
2025-09-16 21:27:25,1605812,62772,100664,1118204,447008,,,,,
2025-09-16 21:27:27,1605812,74016,77480,1118204,324592,,,,,
2025-09-16 21:27:28,1605812,57176,58896,1118204,254408,,,,,
2025-09-16 21:27:29,1605812,66008,67732,1118204,131900,,,,,
2025-09-16 21:27:30,1605812,71216,73096,1118204,48460,,,,,
2025-09-16 21:27:31,1605812,40996,35168,1118204,0,,,,,
2025-09-16 21:27:49,1605812,1103968,1100908,1118204,524856,,,,,
2025-09-16 21:27:50,1605812,1063756,1079848,1118204,539448,,,,,
2025-09-16 21:27:51,1605812,1063504,1079596,1118204,539704,,,,,
2025-09-16 21:27:52,1605812,1062356,1078512,1118204,539704,,,,,
2025-09-16 21:27:53,1605812,1061676,1078164,1118204,539704,,,,,
2025-09-16 21:27:54,1605812,1058748,1075844,1118204,540472,,,,,
2025-09-16 21:27:55,1605812,1056656,1075020,1118204,541240,,,,,
2025-09-16 21:27:56,1605812,1036240,1068312,1118204,543032,,,,,
2025-09-16 21:27:57,1605812,1034576,1066936,1118204,543032,,,,,
2025-09-16 21:27:58,1605812,1033744,1066104,1118204,543032,,,,,
2025-09-16 21:27:59,1605812,1033076,1065940,1118204,543288,,,,,
2025-09-16 21:28:00,1605812,1032420,1065548,1118204,543800,,,,,
2025-09-16 21:28:01,1605812,1031676,1064804,1118204,543800,,,,,
2025-09-16 21:28:02,1605812,1031056,1064384,1118204,544824,,,,,
2025-09-16 21:28:03,1605812,1023792,1065016,1118204,545848,,,,,
2025-09-16 21:28:04,1605812,993692,1059964,1118204,551736,,,,,
2025-09-16 21:28:05,1605812,975384,1056184,1118204,554808,,,,,
2025-09-16 21:28:06,1605812,973812,1054612,1118204,554808,,,,,
2025-09-16 21:28:07,1605812,973700,1054500,1118204,554808,,,,,
2025-09-16 21:28:08,1605812,973700,1054500,1118204,554808,,,,,
2025-09-16 21:28:09,1605812,973284,1054084,1118204,554808,,,,,
2025-09-16 21:28:10,1605812,973036,1053836,1118204,554808,,,,,
2025-09-16 21:28:11,1605812,972876,1053676,1118204,554808,,,,,
2025-09-16 21:28:13,1605812,972788,1053588,1118204,554808,,,,,
2025-09-16 21:28:14,1605812,972956,1053756,1118204,554808,,,,,
2025-09-16 21:28:15,1605812,973044,1053844,1118204,555064,,,,,
2025-09-16 21:28:16,1605812,974072,1054872,1118204,555064,,,,,
2025-09-16 21:28:17,1605812,973404,1054204,1118204,555064,,,,,
2025-09-16 21:28:18,1605812,973488,1054672,1118204,555064,,,,,
